stop_name,latitude,longitude,description
Αφετηρία Πλαζ,38.2805979,21.7535429,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>105 Πλαζ<br>301 Ζαρουχλέικα<br>303 Θερμοπυλών - Πλαζ
Πλαζ 3,38.2815815,21.7490987,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>301 Ζαρουχλέικα
Πλαζ 2,38.2776748,21.7451711,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>301 Ζαρουχλέικα
Πλαζ 1,38.2740416,21.7427638,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα<br>301 Ζαρουχλέικα
Ρομάντζα,38.272294,21.742346,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Ματθαίου,38.271364,21.743895,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Αγυιά (Γραμμές),38.270466,21.745364,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Άγιος Κωνσταντίνος,38.269352,21.747192,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Νοταρά & Χορτάτζη,38.268284,21.748785,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Πινδάρου,38.267211,21.74808,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Ανθοπωλείο,38.265936,21.746682,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Νοταρά & Αμερικής,38.263914,21.744788,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Γήπεδο Παναχαϊκής,38.261762,21.743465,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Λευκωσίας,38.260159,21.742684,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
ΕΛΤΑ,38.258725,21.742099,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Αγίας Σοφίας,38.25695,21.741396,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
Πλατεία Αγίας Λαύρας - ΙΚΑ,38.25522,21.740666,Εξυπηρετεί τις γραμμές:<br>101 Εγλυκάδα<br>102 Διάκου<br>103 Ρωμανού - Ελεκίστρα
