stop_name,routes,latitude,longitude,cluster
Αφετηρία Πλαζ,"['101', '102', '103', '105', '301', '303']",38.2805979,21.7535429,63
Πλαζ 3,"['101', '102', '103', '301']",38.2815815,21.7490987,63
Πλαζ 2,"['101', '102', '103', '301']",38.2776748,21.7451711,63
Πλαζ 1,"['101', '102', '103', '301']",38.2740416,21.7427638,13
Ρομάντζα,"['101', '102', '103']",38.272294,21.742346,13
Ματθαίου,"['101', '102', '103']",38.271364,21.743895,13
Αγυιά (Γραμμές),"['101', '102', '103']",38.270466,21.745364,13
Άγιος Κωνσταντίνος,"['101', '102', '103']",38.269352,21.747192,14
Νοταρά & Χορτάτζη,"['101', '102', '103']",38.268284,21.748785,14
Πινδάρου,"['101', '102', '103']",38.267211,21.74808,91
Ανθοπωλείο,"['101', '102', '103']",38.265936,21.746682,91
Νοταρά & Αμερικής,"['101', '102', '103']",38.263914,21.744788,91
Γήπεδο Παναχαϊκής,"['101', '102', '103']",38.261762,21.743465,39
Λευκωσίας,"['101', '102', '103']",38.260159,21.742684,39
ΕΛΤΑ,"['101', '102', '103']",38.258725,21.742099,39
Αγίας Σοφίας,"['101', '102', '103']",38.25695,21.741396,31
Πλατεία Αγίας Λαύρας - ΙΚΑ,"['101', '102', '103']",38.25522,21.740666,31
Νόρμαν,"['101', '102', '103']",38.253473,21.740196,31
Μουρούζη,"['101', '102', '103']",38.252243,21.740206,30
Παλιό Αρσάκειο,"['101', '102', '103', '201', '301', '302', '609']",38.250681,21.740163,30
Παλαιό Μουσείο,"['101', '102', '103', '201', '301', '302', '609']",38.249366,21.738488,73
Αγίου Νικολάου,"['101', '102', '103', '201', '301', '302', '609']",38.248061,21.736819,74
Πλατεία Γεωργίου,"['101', '102', '103', '201', '301', '302', '501', '502']",38.246583,21.734399,75
Δημαρχείο Πάτρας,"['101', '102', '103', '201', '301', '302', '501', '502']",38.245087,21.732976,20
ΟΤΕ,"['101', '102', '103', '702', '703', '704', '706', '707', '801', '803']",38.243263,21.733688,20
Ψηλά Αλώνια,"['101', '102', '103', '702', '703', '704', '706', '707', '801', '803']",38.242119,21.735909,21
Ομόνοια,"['101', '102', '103', '702', '703', '704', '706', '707', '801', '803']",38.240948,21.738981,83
Άγιος Δημήτριος,"['101', '102', '103', '702', '703', '704', '706', '707', '801', '803']",38.239973,21.741481,82
Γραίτζα Παλαιολόγου,"['101', '102', '103']",38.238976,21.74368,53
3ου Ορειβατικού,"['101', '102', '103']",38.23916,21.745182,53
Πλατεία Ταμπάχανα,"['101', '102', '103', '401']",38.240275,21.745802,1
12ου Συντάγματος,"['101', '102', '103']",38.239561,21.74795,1
Γ' Νεκροταφείο Πατρών,"['101', '102', '103']",38.238832,21.749651,0
Εγλυκάδος,['101'],38.237523,21.751268,0
Πάρκο,['101'],38.235401,21.752486,80
Παρασκευοπούλου,['101'],38.233702,21.754643,80
Κλεάρχου,['101'],38.232338,21.756834,80
Σάντο,['101'],38.230773,21.758119,16
Λυσάνδρου,['101'],38.229498,21.760936,15
Λεωνίδου,['101'],38.227802,21.76203,15
Άγιος Ανδρέας Εγλυκάδας,['101'],38.226862,21.761799,15
41ο Δημοτικό Σχολείο Πατρών,['101'],38.225878,21.762006,15
Πέλοπος,['101'],38.225551,21.7597,16
Χάραμα,['101'],38.225718,21.758178,16
Σικελιανού,['101'],38.225545,21.759594,16
Μαραθωνομάχων,['101'],38.225776,21.762131,15
Λοχαγού Φωτόπουλου,['101'],38.225747,21.763297,15
Νεκροταφείο Εγλυκάδας,"['101', '105']",38.22588,21.766064,15
Αφετηρία Ρομάντζα,"['101', '102', '103', '104']",38.273077,21.743447,13
Σύνορα - ΚΕΤΧ,"['102', '103']",38.238266,21.751486,0
Δούρος,"['102', '103']",38.238422,21.754535,80
409 Στρατιωτικό Νοσοκομείο,"['102', '103']",38.237709,21.755466,80
Προφήτης Ηλίας,"['102', '103']",38.236336,21.759061,80
Οδός Γηροκομείου,"['102', '103']",38.235719,21.760643,42
Παπάκου,"['102', '103']",38.235258,21.762303,42
Στροφές,['102'],38.234472,21.763717,42
Νοσημάτων Θώρακος,['102'],38.234938,21.766834,41
Λυκόχωρος 1,['102'],38.235417,21.768323,41
Λυκόχωρος 2,['102'],38.235548,21.770036,41
Λυκόχωρος - Πηγή,['102'],38.23465,21.771911,34
Λυκόχωρος - Adams,['102'],38.233669,21.774183,34
Τέρμα Λυκόχωρος,['102'],38.233939,21.776324,34
Στροφή Λυκόχωρου,['102'],38.235777,21.766324,41
Μονή Γηροκομείου,['102'],38.236424,21.765914,41
Μέριμνα,['102'],38.237923,21.764985,41
Τέρμα Διάκου,"['102', '104']",38.238982,21.763344,41
46ο Δημ. Σχολείο Πατρών,['103'],38.233764,21.76295,42
Στροφή Εγλυκάδας,['103'],38.23234,21.764175,42
Τζόλλας,['103'],38.228824,21.771332,34
Στροφή Τζόλλα,['103'],38.22777,21.774151,34
Αγία Ειρήνη,['103'],38.227336,21.774763,34
Περιμετρική,['103'],38.227994,21.776627,34
Απόλαυση,['103'],38.22795,21.780763,96
