stop_name,latitude,longitude,cluster
Σύνορα - ΚΕΤΧ,38.238266,21.751486,0
4ο ΓΕΛ Πατρών,38.241705,21.74869,1
Καλλιθέα,38.163455,21.729325,2
Ηλία Πολίτη,38.277841,21.791022,3
Κηπουργού,38.183815,21.688221,4
Πλατεία Ροΐτικα,38.185916,21.680248,5
Άγιος Γεώργιος,38.212011,21.718765,6
Λεύκα,38.21048,21.715131,7
Μιαούλη,38.21195,21.780347,8
Διακίδη,38.212708,21.774471,9
Κέντρο Βραχνέικα,38.162812,21.668524,10
Οδυσσέα Ανδρούτσου,38.312389,21.8002,11
Ιουλιανού,38.230132,21.73492,12
Αφετηρία Ρομάντζα,38.273077,21.743447,13
Νοταρά,38.268457,21.748908,14
Άγιος Ανδρέας Εγλυκάδας,38.226862,21.761799,15
Χάραμα,38.225718,21.758178,16
Σπίτια,38.193717,21.756902,17
Ομπλός,38.193828,21.762578,18
Δικαστήρια,38.244018,21.731619,19
Κανακάρη & Φιλοποίμενος,38.243803,21.733764,20
Ψηλά Αλώνια (κάθοδος Γούναρη),38.242098,21.735977,21
Σταθμός ΟΣΕ Ρίο,38.301051,21.782033,22
ΤΣ Οβρυά,38.193224,21.712474,23
Καστρίτσι 11,38.272287,21.831946,24
Λύτρα,38.212107,21.753024,25
Σεφέρη,38.217157,21.75281,26
Βούντενη,38.257238,21.786834,27
Βησσαρίωνος,38.279123,21.767109,28
Πολυκάστης,38.281914,21.76702,29
Άγ. Διονύσιος - Επίκεντρο,38.253193,21.738313,30
Πλατεία Αγίας Λαύρας - ΙΚΑ,38.25522,21.740666,31
Βλάχου,38.195304,21.731651,32
Τσουκαλέικα,38.155317,21.64053,33
Στροφή Τζόλλα,38.22777,21.774151,34
Δημαρχείο Παραλίας,38.194403,21.694494,35
24ο Δημοτικο Σχολείο Πατρών,38.221294,21.735108,36
Συνεδριακό Κέντρο,38.289796,21.784963,37
Οικονομική Περιφέρεια Αθηνών Πατρών,38.261537,21.749959,38
Πέντε Πηγαδίων,38.258266,21.745932,39
Νεκροταφείο Βραχνεΐκων,38.168515,21.676456,40
Μονή Γηροκομείου,38.236424,21.765914,41
46ο Δημ. Σχολείο Πατρών,38.233764,21.76295,42
Πλάστιγγα,38.308842,21.786757,43
Άγιος Αιμιλιανός,38.219367,21.742989,44
Κόμβος Κουκούλι,38.219924,21.750474,45
Μειλίχου 1,38.265875,21.756742,46
Αμπελόκηποι,38.265297,21.760502,47
Αρέθα,38.266908,21.757542,48
Αγ. Σωτήρος,38.205128,21.736851,49
Άγ. Θεόδωροι,38.201562,21.744043,50
Μπάλα 1,38.254907,21.797024,51
Νοσοκομείο Αγ. Ανδρέας,38.234976,21.746563,52
Πλατεία Μαρούδα,38.238677,21.744055,53
Καστρίτσι 1,38.274512,21.805109,54
Συνεταιρισμός Ταξί,38.212336,21.730797,55
25ης Μαρτίου,38.311045,21.815075,56
Ελευθερίου Βενιζέλου,38.31461,21.806969,57
Παλαιών Πατρών Γερμανού,38.189632,21.72964,58
Ακτή Δυμαίων & Μαξίμου,38.234167,21.72506,59
Σμύρνης,38.238464,21.727401,60
Ι.Ν. Άγιος Ανδρέας,38.241344,21.726508,61
Ιεροθέου,38.23719,21.729319,62
Πλαζ 3,38.2815815,21.7490987,63
Νεκροταφείο,38.187898,21.707939,64
Συνεργείο,38.188148,21.713478,65
Ι.Ν. Αγ. Γεωργίου,38.201318,21.764772,66
FORD - Λαζανάς,38.202737,21.705996,67
Αγ. Βαρβάρα,38.301091,21.796217,68
Σταυροπούλου,38.296163,21.788516,69
Ποταμός Χάραδρος,38.286222,21.774768,70
Κουρδής,38.185158,21.698712,71
Αφετηρία Νέο Λιμάνι,38.226381,21.721396,72
Κολοκοτρώνη,38.247446,21.738748,73
Νάκας,38.24928,21.736484,74
Πλατεία Γεωργίου,38.246583,21.734399,75
Ελεκίστρα,38.215992,21.801417,76
Lidl,38.210044,21.759787,77
Carrefour,38.211525,21.763072,78
Άνω Συχαινά 2,38.259516,21.77124,79
409 Στρατιωτικό Νοσοκομείο,38.237709,21.755466,80
Σαμακιά,38.241621,21.760357,81
Σμύρνης 2,38.237162,21.739783,82
Βουλγάρεως,38.23806,21.738578,83
Βύρωνος,38.235104,21.735824,84
Χίου,38.228354,21.748984,85
Παλιό Δημοτικό,38.17677,21.677387,86
Κυριαζής,38.180033,21.728649,87
Μηχανική Καλλιέργεια 1,38.273072,21.76005,88
Καρτινός,38.160516,21.654961,89
3ης Σεπτέμβρη,38.190482,21.723921,90
Ανθοπωλείο,38.265936,21.746682,91
Τέρμα Θερμοπυλών,38.264537,21.750184,92
Παλαιοχώρας,38.170334,21.719654,93
Ευγενίας,38.226991,21.742099,94
Καστρίτσι 5,38.273758,21.819462,95
Ζωοδόχου Πηγής,38.228618,21.784001,96
Parking,38.267202,21.739356,97
